Year,N ,SE
1996,39.37,2.68
1997,83.43,11.81
1998,127.34,10.72
1999,147.85,16.06
2000,148.38,15.74
2001,179.08,14.59
2002,196.01,10.55
2003,208.76,18.53
2004,215.26,16.64
2005,222.69,27.52
2006,200.60,22.24
2007,199.64,26.68
2008,213.94,20.34
2009,216.06,23.17
2010,207.54,21.45
2011,212.02,17.84
2012,225.89,15.80
2013,245.35,14.75
2014,253.99,21.59
2015,255.86,19.41
2016,266.59,26.97
2017,237.94,23.40
2018,227.02,26.11
2019,226.63,18.84
2020,220.79,19.45
2021,222.55,28.11
2022,213.00,19.64
2023,219.24,15.36
2024,217.76,17.70
